task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task127,outputs\onnx\task127.onnx,outputs\candidates\identity_removed\task127_ZeroAddRemoved.onnx,4500,4500,0,3772,3772,0,0,0,no zero-add patterns found
task128,outputs\onnx\task128.onnx,outputs\candidates\identity_removed\task128_ZeroAddRemoved.onnx,906,906,0,3365,3365,0,0,0,no zero-add patterns found
task129,outputs\onnx\task129.onnx,outputs\candidates\identity_removed\task129_ZeroAddRemoved.onnx,258,258,0,1196,1196,0,0,0,no zero-add patterns found
task130,outputs\onnx\task130.onnx,outputs\candidates\identity_removed\task130_ZeroAddRemoved.onnx,608,608,0,1293,1293,0,0,0,no zero-add patterns found
task131,outputs\onnx\task131.onnx,outputs\candidates\identity_removed\task131_ZeroAddRemoved.onnx,4943,4943,0,12030,12030,0,0,0,no zero-add patterns found
task132,outputs\onnx\task132.onnx,outputs\candidates\identity_removed\task132_ZeroAddRemoved.onnx,436,436,0,3762,3762,0,0,0,no zero-add patterns found
task133,outputs\onnx\task133.onnx,outputs\candidates\identity_removed\task133_ZeroAddRemoved.onnx,1406822,1406822,0,783434,783434,0,0,0,no zero-add patterns found
task134,outputs\onnx\task134.onnx,outputs\candidates\identity_removed\task134_ZeroAddRemoved.onnx,600,600,0,7220,7220,0,0,0,no zero-add patterns found
task135,outputs\onnx\task135.onnx,outputs\candidates\identity_removed\task135_ZeroAddRemoved.onnx,54,54,0,381,381,0,0,0,no zero-add patterns found
task136,outputs\onnx\task136.onnx,outputs\candidates\identity_removed\task136_ZeroAddRemoved.onnx,2229,2229,0,4980,4980,0,0,0,no zero-add patterns found
task137,outputs\onnx\task137.onnx,outputs\candidates\identity_removed\task137_ZeroAddRemoved.onnx,2028,2028,0,3864,3864,0,0,0,no zero-add patterns found
task138,outputs\onnx\task138.onnx,outputs\candidates\identity_removed\task138_ZeroAddRemoved.onnx,789,789,0,11562,11562,0,0,0,no zero-add patterns found
task139,outputs\onnx\task139.onnx,outputs\candidates\identity_removed\task139_ZeroAddRemoved.onnx,988,988,0,3865,3865,0,0,0,no zero-add patterns found
task140,outputs\onnx\task140.onnx,outputs\candidates\identity_removed\task140_ZeroAddRemoved.onnx,144,144,0,474,474,0,0,0,no zero-add patterns found
task141,outputs\onnx\task141.onnx,outputs\candidates\identity_removed\task141_ZeroAddRemoved.onnx,409,409,0,2345,2345,0,0,0,no zero-add patterns found
task142,outputs\onnx\task142.onnx,outputs\candidates\identity_removed\task142_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task143,outputs\onnx\task143.onnx,outputs\candidates\identity_removed\task143_ZeroAddRemoved.onnx,465,465,0,2690,2690,0,0,0,no zero-add patterns found
task144,outputs\onnx\task144.onnx,outputs\candidates\identity_removed\task144_ZeroAddRemoved.onnx,322,322,0,1639,1639,0,0,0,no zero-add patterns found
task145,outputs\onnx\task145.onnx,outputs\candidates\identity_removed\task145_ZeroAddRemoved.onnx,2979,2979,0,31434,31434,0,0,0,no zero-add patterns found
task146,outputs\onnx\task146.onnx,outputs\candidates\identity_removed\task146_ZeroAddRemoved.onnx,203,203,0,1894,1894,0,0,0,no zero-add patterns found
task147,outputs\onnx\task147.onnx,outputs\candidates\identity_removed\task147_ZeroAddRemoved.onnx,4550,4550,0,3825,3825,0,0,0,no zero-add patterns found
task148,outputs\onnx\task148.onnx,outputs\candidates\identity_removed\task148_ZeroAddRemoved.onnx,1873,1873,0,10573,10573,0,0,0,no zero-add patterns found
task149,outputs\onnx\task149.onnx,outputs\candidates\identity_removed\task149_ZeroAddRemoved.onnx,232,232,0,1404,1404,0,0,0,no zero-add patterns found
task150,outputs\onnx\task150.onnx,outputs\candidates\identity_removed\task150_ZeroAddRemoved.onnx,302,302,0,1320,1320,0,0,0,no zero-add patterns found
task151,outputs\onnx\task151.onnx,outputs\candidates\identity_removed\task151_ZeroAddRemoved.onnx,525,525,0,2352,2352,0,0,0,no zero-add patterns found
