task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task093,outputs\onnx\task093.onnx,outputs\candidates\dtype_ablation_20260609\task093_InitializerDtypeCompression.onnx,667,667,0,5415,5415,0,15,15,0,0
task094,outputs\onnx\task094.onnx,outputs\candidates\dtype_ablation_20260609\task094_InitializerDtypeCompression.onnx,802,802,0,3767,3767,0,21,21,0,0
task095,outputs\onnx\task095.onnx,outputs\candidates\dtype_ablation_20260609\task095_InitializerDtypeCompression.onnx,4550,4550,0,3950,3950,0,2,2,0,0
task096,outputs\onnx\task096.onnx,outputs\candidates\dtype_ablation_20260609\task096_InitializerDtypeCompression.onnx,8858,6948,-1910,64252,62599,-1653,42,42,3,1310
task097,outputs\onnx\task097.onnx,outputs\candidates\dtype_ablation_20260609\task097_InitializerDtypeCompression.onnx,1938,1938,0,2494,2494,0,6,6,0,0
task098,outputs\onnx\task098.onnx,outputs\candidates\dtype_ablation_20260609\task098_InitializerDtypeCompression.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task099,outputs\onnx\task099.onnx,outputs\candidates\dtype_ablation_20260609\task099_InitializerDtypeCompression.onnx,24550,24550,0,19839,19839,0,2,2,0,0
task100,outputs\onnx\task100.onnx,outputs\candidates\dtype_ablation_20260609\task100_InitializerDtypeCompression.onnx,335,335,0,4954,4954,0,14,14,0,0
task101,outputs\onnx\task101.onnx,outputs\candidates\dtype_ablation_20260609\task101_InitializerDtypeCompression.onnx,14360,9860,-4500,39301,35041,-4260,38,38,2,4500
task102,outputs\onnx\task102.onnx,outputs\candidates\dtype_ablation_20260609\task102_InitializerDtypeCompression.onnx,1137,849,-288,22167,22029,-138,12,12,2,288
task103,outputs\onnx\task103.onnx,outputs\candidates\dtype_ablation_20260609\task103_InitializerDtypeCompression.onnx,425,425,0,1669,1669,0,12,12,0,0
task104,outputs\onnx\task104.onnx,outputs\candidates\dtype_ablation_20260609\task104_InitializerDtypeCompression.onnx,5414,2255,-3159,6350,3703,-2647,16,16,7,1053
task105,outputs\onnx\task105.onnx,outputs\candidates\dtype_ablation_20260609\task105_InitializerDtypeCompression.onnx,36364,14764,-21600,35291,13847,-21444,12,12,2,7200
task106,outputs\onnx\task106.onnx,outputs\candidates\dtype_ablation_20260609\task106_InitializerDtypeCompression.onnx,746,746,0,2939,2939,0,16,16,0,0
task107,outputs\onnx\task107.onnx,outputs\candidates\dtype_ablation_20260609\task107_InitializerDtypeCompression.onnx,42039,28539,-13500,31191,18636,-12555,30,30,15,13500
