task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task130,archive,outputs\archive_all_repaired_verified_onnx\task130.onnx,608,1293,True,608,1293,,True,4563,4053,
task131,archive,outputs\archive_all_repaired_verified_onnx\task131.onnx,4943,12030,True,4943,12030,,False,,,missing_model
task132,archive,outputs\archive_all_repaired_verified_onnx\task132.onnx,436,3762,True,436,3762,,False,,,missing_model
task133,archive,outputs\archive_all_repaired_verified_onnx\task133.onnx,1406822,783434,True,1406822,783434,,False,,,missing_model
task134,archive,outputs\archive_all_repaired_verified_onnx\task134.onnx,600,7220,True,600,7220,,False,,,missing_model
task135,archive,outputs\archive_all_repaired_verified_onnx\task135.onnx,54,381,True,54,381,,True,4563,4053,
task136,archive,outputs\archive_all_repaired_verified_onnx\task136.onnx,2229,4980,True,2229,4980,,False,,,missing_model
task137,archive,outputs\archive_all_repaired_verified_onnx\task137.onnx,2028,3864,True,2028,3864,,False,,,missing_model
task138,archive,outputs\archive_all_repaired_verified_onnx\task138.onnx,789,11562,True,789,11562,,False,,,missing_model
task139,archive,outputs\archive_all_repaired_verified_onnx\task139.onnx,988,3865,True,988,3865,,False,,,missing_model
task140,archive,outputs\archive_all_repaired_verified_onnx\task140.onnx,144,474,True,144,474,,True,4563,4053,
task141,archive,outputs\archive_all_repaired_verified_onnx\task141.onnx,409,2345,True,409,2345,,False,,,missing_model
task142,archive,outputs\archive_all_repaired_verified_onnx\task142.onnx,9000,7454,True,9000,7454,,False,,,missing_model
task143,archive,outputs\archive_all_repaired_verified_onnx\task143.onnx,465,2690,True,465,2690,,False,,,missing_model
task144,archive,outputs\archive_all_repaired_verified_onnx\task144.onnx,322,1639,True,322,1639,,True,2550,2647,
task145,archive,outputs\archive_all_repaired_verified_onnx\task145.onnx,2979,31434,True,2979,31434,,False,,,missing_model
task146,archive,outputs\archive_all_repaired_verified_onnx\task146.onnx,208,1931,True,208,1931,,False,,,missing_model
task147,current,outputs\archive_all_repaired_verified_onnx\task147.onnx,560,1314,True,560,1314,,True,560,1314,
task148,archive,outputs\archive_all_repaired_verified_onnx\task148.onnx,1873,10573,True,1873,10573,,False,,,missing_model
task149,archive,outputs\archive_all_repaired_verified_onnx\task149.onnx,232,1404,True,232,1404,,False,,,missing_model
task150,archive,outputs\archive_all_repaired_verified_onnx\task150.onnx,302,1320,True,302,1320,,True,622,2887,
task151,archive,outputs\archive_all_repaired_verified_onnx\task151.onnx,525,2352,True,525,2352,,False,,,missing_model
task152,archive,outputs\archive_all_repaired_verified_onnx\task152.onnx,9000,7454,True,9000,7454,,False,,,missing_model
task153,archive,outputs\archive_all_repaired_verified_onnx\task153.onnx,26811,862351,True,26811,862351,,False,,,missing_model
task154,archive,outputs\archive_all_repaired_verified_onnx\task154.onnx,4966,7650,True,4966,7650,,False,,,missing_model
task155,archive,outputs\archive_all_repaired_verified_onnx\task155.onnx,311,1347,True,311,1347,,True,622,2886,
task156,archive,outputs\archive_all_repaired_verified_onnx\task156.onnx,2979,7856,True,2979,7856,,False,,,missing_model
task157,archive,outputs\archive_all_repaired_verified_onnx\task157.onnx,1023477,857911,True,1023477,857911,,False,,,missing_model
task158,archive,outputs\archive_all_repaired_verified_onnx\task158.onnx,4613,95337,True,4613,95337,,False,,,missing_model
task159,archive,outputs\archive_all_repaired_verified_onnx\task159.onnx,12549,12966,True,12549,12966,,False,,,missing_model
task160,archive,outputs\archive_all_repaired_verified_onnx\task160.onnx,571,2362,True,571,2362,,False,,,missing_model
task161,archive,outputs\archive_all_repaired_verified_onnx\task161.onnx,389,6008,True,389,6008,,False,,,missing_model
task162,archive,outputs\archive_all_repaired_verified_onnx\task162.onnx,183,2268,True,183,2268,,False,,,missing_model
task163,archive,outputs\archive_all_repaired_verified_onnx\task163.onnx,9439,13875,True,9439,13875,,False,,,missing_model
task164,archive,outputs\archive_all_repaired_verified_onnx\task164.onnx,270,479,True,270,479,,True,4563,4053,
task165,archive,outputs\archive_all_repaired_verified_onnx\task165.onnx,3162,4910,True,3162,4910,,False,,,missing_model
task166,archive,outputs\archive_all_repaired_verified_onnx\task166.onnx,289,1628,True,289,1628,,False,,,missing_model
task167,archive,outputs\archive_all_repaired_verified_onnx\task167.onnx,1562,2375,True,1562,2375,,False,,,missing_model
task168,archive,outputs\archive_all_repaired_verified_onnx\task168.onnx,1667,9227,True,1667,9227,,False,,,missing_model
task169,archive,outputs\archive_all_repaired_verified_onnx\task169.onnx,4799,23816,True,4799,23816,,False,,,missing_model
task170,archive,outputs\archive_all_repaired_verified_onnx\task170.onnx,19255,64849,True,19255,64849,,False,,,missing_model
task171,current,outputs\archive_all_repaired_verified_onnx\task171.onnx,155,1048,True,155,1048,,True,155,1048,
task172,archive,outputs\archive_all_repaired_verified_onnx\task172.onnx,270,479,True,270,479,,True,4563,4053,
task173,archive,outputs\archive_all_repaired_verified_onnx\task173.onnx,751,10108,True,751,10108,,False,,,missing_model
task174,archive,outputs\archive_all_repaired_verified_onnx\task174.onnx,614,61839,True,614,61839,,False,,,missing_model
task175,archive,outputs\archive_all_repaired_verified_onnx\task175.onnx,13787,12412,True,13787,12412,,False,,,missing_model
task176,archive,outputs\archive_all_repaired_verified_onnx\task176.onnx,696,1420,True,696,1420,,False,,,missing_model
task177,archive,outputs\archive_all_repaired_verified_onnx\task177.onnx,945,4180,True,945,4180,,True,1113,3769,
task178,archive,outputs\archive_all_repaired_verified_onnx\task178.onnx,3009,11303,True,3009,11303,,False,,,missing_model
task179,archive,outputs\archive_all_repaired_verified_onnx\task179.onnx,0,170,True,0,170,,False,,,missing_model
task180,archive,outputs\archive_all_repaired_verified_onnx\task180.onnx,9158,8128,True,9158,8128,,False,,,missing_model
task181,archive,outputs\archive_all_repaired_verified_onnx\task181.onnx,672,3083,True,672,3083,,False,,,missing_model
task182,archive,outputs\archive_all_repaired_verified_onnx\task182.onnx,2930,70465,True,2930,70465,,False,,,missing_model
task183,archive,outputs\archive_all_repaired_verified_onnx\task183.onnx,250,4645,True,250,4645,,False,,,missing_model
task184,archive,outputs\archive_all_repaired_verified_onnx\task184.onnx,340,7610,True,340,7610,,False,,,missing_model
task185,archive,outputs\archive_all_repaired_verified_onnx\task185.onnx,595,18881,True,595,18881,,False,,,missing_model
task186,archive,outputs\archive_all_repaired_verified_onnx\task186.onnx,1994,2418,True,1994,2418,,False,,,missing_model
task187,archive,outputs\archive_all_repaired_verified_onnx\task187.onnx,1899,8852,True,1899,8852,,False,,,missing_model
task188,archive,outputs\archive_all_repaired_verified_onnx\task188.onnx,352,4356,True,352,4356,,False,,,missing_model
task189,archive,outputs\archive_all_repaired_verified_onnx\task189.onnx,1968,8560,True,1968,8560,,False,,,missing_model
task190,archive,outputs\archive_all_repaired_verified_onnx\task190.onnx,1538,8781,True,1538,8781,,False,,,missing_model
task191,archive,outputs\archive_all_repaired_verified_onnx\task191.onnx,773,132233,True,773,132233,,False,,,missing_model
task192,archive,outputs\archive_all_repaired_verified_onnx\task192.onnx,327,2511,True,327,2511,,False,,,missing_model
task193,archive,outputs\archive_all_repaired_verified_onnx\task193.onnx,327,1925,True,327,1925,,False,,,missing_model
task194,archive,outputs\archive_all_repaired_verified_onnx\task194.onnx,9000,7454,True,9000,7454,,False,,,missing_model
task195,archive,outputs\archive_all_repaired_verified_onnx\task195.onnx,4073,5381,True,4073,5381,,False,,,missing_model
task196,archive,outputs\archive_all_repaired_verified_onnx\task196.onnx,431,3457,True,431,3457,,False,,,missing_model
task197,archive,outputs\archive_all_repaired_verified_onnx\task197.onnx,92,1758,True,92,1758,,False,,,missing_model
task198,archive,outputs\archive_all_repaired_verified_onnx\task198.onnx,2799,6979,True,2799,6979,,False,,,missing_model
task199,archive,outputs\archive_all_repaired_verified_onnx\task199.onnx,378,2948,True,378,2948,,False,,,missing_model
task200,archive,outputs\archive_all_repaired_verified_onnx\task200.onnx,990050,797905,True,990050,797905,,False,,,missing_model
task201,archive,outputs\archive_all_repaired_verified_onnx\task201.onnx,3246,10924,True,3246,10924,,False,,,missing_model
task202,archive,outputs\archive_all_repaired_verified_onnx\task202.onnx,50,3582,True,50,3582,,False,,,missing_model
task203,archive,outputs\archive_all_repaired_verified_onnx\task203.onnx,3544,6437,True,3544,6437,,False,,,missing_model
task204,archive,outputs\archive_all_repaired_verified_onnx\task204.onnx,3202,5801,True,3202,5801,,False,,,missing_model
task205,archive,outputs\archive_all_repaired_verified_onnx\task205.onnx,1114,48510,True,1114,48510,,False,,,missing_model
task206,archive,outputs\archive_all_repaired_verified_onnx\task206.onnx,1020,20303,True,1020,20303,,False,,,missing_model
task207,archive,outputs\archive_all_repaired_verified_onnx\task207.onnx,307,2330,True,307,2330,,True,93935,144684,
task208,archive,outputs\archive_all_repaired_verified_onnx\task208.onnx,1806,15885,True,1806,15885,,False,,,missing_model
task209,archive,outputs\archive_all_repaired_verified_onnx\task209.onnx,1170350,1294052,True,1170350,1294052,,False,,,missing_model
task210,archive,outputs\archive_all_repaired_verified_onnx\task210.onnx,270,479,True,270,479,,True,4563,4053,
task211,archive,outputs\archive_all_repaired_verified_onnx\task211.onnx,9000,7454,True,9000,7454,,False,,,missing_model
task212,archive,outputs\archive_all_repaired_verified_onnx\task212.onnx,1321,6853,True,1321,6853,,False,,,missing_model
task213,archive,outputs\archive_all_repaired_verified_onnx\task213.onnx,660,25091,True,660,25091,,False,,,missing_model
task214,archive,outputs\archive_all_repaired_verified_onnx\task214.onnx,9000,7454,True,9000,7454,,False,,,missing_model
task215,archive,outputs\archive_all_repaired_verified_onnx\task215.onnx,559,4015,True,559,4015,,False,,,missing_model
task216,archive,outputs\archive_all_repaired_verified_onnx\task216.onnx,888,20396,True,888,20396,,False,,,missing_model
task217,archive,outputs\archive_all_repaired_verified_onnx\task217.onnx,5649,7268,True,5649,7268,,False,,,missing_model
task218,archive,outputs\archive_all_repaired_verified_onnx\task218.onnx,328,9594,True,328,9594,,False,,,missing_model
task219,archive,outputs\archive_all_repaired_verified_onnx\task219.onnx,16894,87016,True,16894,87016,,False,,,missing_model
task220,archive,outputs\archive_all_repaired_verified_onnx\task220.onnx,4500,3798,True,4500,3798,,False,,,missing_model
task221,archive,outputs\archive_all_repaired_verified_onnx\task221.onnx,15246,13333,True,15246,13333,,False,,,missing_model
task222,archive,outputs\archive_all_repaired_verified_onnx\task222.onnx,405,2578,True,405,2578,,False,,,missing_model
task223,current,outputs\archive_all_repaired_verified_onnx\task223.onnx,4563,4053,True,4563,4053,,True,4563,4053,
task224,archive,outputs\archive_all_repaired_verified_onnx\task224.onnx,1240,7753,True,1240,7753,,False,,,missing_model
task225,archive,outputs\archive_all_repaired_verified_onnx\task225.onnx,3168,5386,True,3168,5386,,False,,,missing_model
task226,archive,outputs\archive_all_repaired_verified_onnx\task226.onnx,867,4694,True,867,4694,,False,,,missing_model
task227,archive,outputs\archive_all_repaired_verified_onnx\task227.onnx,339,1435,True,339,1435,,False,,,missing_model
task228,archive,outputs\archive_all_repaired_verified_onnx\task228.onnx,562,4406,True,562,4406,,False,,,missing_model
task229,archive,outputs\archive_all_repaired_verified_onnx\task229.onnx,357,1735,True,357,1735,,False,,,missing_model
