task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task118,outputs\reference_6275_flat\task118.onnx,outputs\candidates\ref6275_zero_add_removed\task118_ZeroAddRemoved.onnx,522,522,0,4432,4432,0,0,0,no zero-add patterns found
task119,outputs\reference_6275_flat\task119.onnx,outputs\candidates\ref6275_zero_add_removed\task119_ZeroAddRemoved.onnx,612,612,0,13672,13672,0,0,0,no zero-add patterns found
task120,outputs\reference_6275_flat\task120.onnx,outputs\candidates\ref6275_zero_add_removed\task120_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
task121,outputs\reference_6275_flat\task121.onnx,outputs\candidates\ref6275_zero_add_removed\task121_ZeroAddRemoved.onnx,366,366,0,3339,3339,0,0,0,no zero-add patterns found
task122,outputs\reference_6275_flat\task122.onnx,outputs\candidates\ref6275_zero_add_removed\task122_ZeroAddRemoved.onnx,12550,12550,0,10236,10236,0,0,0,no zero-add patterns found
task123,outputs\reference_6275_flat\task123.onnx,outputs\candidates\ref6275_zero_add_removed\task123_ZeroAddRemoved.onnx,8472,8472,0,9379,9379,0,0,0,no zero-add patterns found
task124,outputs\reference_6275_flat\task124.onnx,outputs\candidates\ref6275_zero_add_removed\task124_ZeroAddRemoved.onnx,3087,3087,0,2840,2840,0,0,0,no zero-add patterns found
task125,outputs\reference_6275_flat\task125.onnx,outputs\candidates\ref6275_zero_add_removed\task125_ZeroAddRemoved.onnx,639,639,0,3012,3012,0,0,0,no zero-add patterns found
task126,outputs\reference_6275_flat\task126.onnx,outputs\candidates\ref6275_zero_add_removed\task126_ZeroAddRemoved.onnx,347,347,0,3088,3088,0,0,0,no zero-add patterns found
task127,outputs\reference_6275_flat\task127.onnx,outputs\candidates\ref6275_zero_add_removed\task127_ZeroAddRemoved.onnx,4500,4500,0,3772,3772,0,0,0,no zero-add patterns found
task128,outputs\reference_6275_flat\task128.onnx,outputs\candidates\ref6275_zero_add_removed\task128_ZeroAddRemoved.onnx,744,744,0,2394,2394,0,0,0,no zero-add patterns found
task129,outputs\reference_6275_flat\task129.onnx,outputs\candidates\ref6275_zero_add_removed\task129_ZeroAddRemoved.onnx,255,255,0,785,785,0,0,0,no zero-add patterns found
task130,outputs\reference_6275_flat\task130.onnx,outputs\candidates\ref6275_zero_add_removed\task130_ZeroAddRemoved.onnx,358,358,0,1164,1164,0,0,0,no zero-add patterns found
task131,outputs\reference_6275_flat\task131.onnx,outputs\candidates\ref6275_zero_add_removed\task131_ZeroAddRemoved.onnx,3135,3135,0,7860,7860,0,0,0,no zero-add patterns found
task132,outputs\reference_6275_flat\task132.onnx,outputs\candidates\ref6275_zero_add_removed\task132_ZeroAddRemoved.onnx,366,366,0,2585,2585,0,0,0,no zero-add patterns found
task133,outputs\reference_6275_flat\task133.onnx,outputs\candidates\ref6275_zero_add_removed\task133_ZeroAddRemoved.onnx,1869,1869,0,14130,14130,0,0,0,no zero-add patterns found
task134,outputs\reference_6275_flat\task134.onnx,outputs\candidates\ref6275_zero_add_removed\task134_ZeroAddRemoved.onnx,486,486,0,4599,4599,0,0,0,no zero-add patterns found
task135,outputs\reference_6275_flat\task135.onnx,outputs\candidates\ref6275_zero_add_removed\task135_ZeroAddRemoved.onnx,0,0,0,251,251,0,0,0,no zero-add patterns found
task136,outputs\reference_6275_flat\task136.onnx,outputs\candidates\ref6275_zero_add_removed\task136_ZeroAddRemoved.onnx,576,576,0,2827,2827,0,0,0,no zero-add patterns found
task137,outputs\reference_6275_flat\task137.onnx,outputs\candidates\ref6275_zero_add_removed\task137_ZeroAddRemoved.onnx,248,248,0,2835,2835,0,0,0,no zero-add patterns found
task138,outputs\reference_6275_flat\task138.onnx,outputs\candidates\ref6275_zero_add_removed\task138_ZeroAddRemoved.onnx,461,461,0,8806,8806,0,0,0,no zero-add patterns found
task139,outputs\reference_6275_flat\task139.onnx,outputs\candidates\ref6275_zero_add_removed\task139_ZeroAddRemoved.onnx,988,988,0,3865,3865,0,0,0,no zero-add patterns found
task140,outputs\reference_6275_flat\task140.onnx,outputs\candidates\ref6275_zero_add_removed\task140_ZeroAddRemoved.onnx,72,72,0,394,394,0,0,0,no zero-add patterns found
task141,outputs\reference_6275_flat\task141.onnx,outputs\candidates\ref6275_zero_add_removed\task141_ZeroAddRemoved.onnx,409,409,0,2345,2345,0,0,0,no zero-add patterns found
task142,outputs\reference_6275_flat\task142.onnx,outputs\candidates\ref6275_zero_add_removed\task142_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task143,outputs\reference_6275_flat\task143.onnx,outputs\candidates\ref6275_zero_add_removed\task143_ZeroAddRemoved.onnx,441,441,0,2144,2144,0,0,0,no zero-add patterns found
task144,outputs\reference_6275_flat\task144.onnx,outputs\candidates\ref6275_zero_add_removed\task144_ZeroAddRemoved.onnx,306,306,0,1321,1321,0,0,0,no zero-add patterns found
task145,outputs\reference_6275_flat\task145.onnx,outputs\candidates\ref6275_zero_add_removed\task145_ZeroAddRemoved.onnx,2979,2979,0,19982,19982,0,0,0,no zero-add patterns found
task146,outputs\reference_6275_flat\task146.onnx,outputs\candidates\ref6275_zero_add_removed\task146_ZeroAddRemoved.onnx,203,203,0,1894,1894,0,0,0,no zero-add patterns found
