task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task121,outputs\current_6352_53_stack\overrides\task121.onnx,outputs\candidates\current_6352_53_zero_add_removed\task121_ZeroAddRemoved.onnx,366,366,0,3339,3339,0,0,0,no zero-add patterns found
task122,outputs\current_6352_53_stack\overrides\task122.onnx,outputs\candidates\current_6352_53_zero_add_removed\task122_ZeroAddRemoved.onnx,12550,12550,0,10236,10236,0,0,0,no zero-add patterns found
task123,outputs\current_6352_53_stack\overrides\task123.onnx,outputs\candidates\current_6352_53_zero_add_removed\task123_ZeroAddRemoved.onnx,8472,8472,0,9379,9379,0,0,0,no zero-add patterns found
task124,outputs\current_6352_53_stack\overrides\task124.onnx,outputs\candidates\current_6352_53_zero_add_removed\task124_ZeroAddRemoved.onnx,1763,1763,0,3839,3839,0,0,0,no zero-add patterns found
task125,outputs\current_6352_53_stack\overrides\task125.onnx,outputs\candidates\current_6352_53_zero_add_removed\task125_ZeroAddRemoved.onnx,639,639,0,3012,3012,0,0,0,no zero-add patterns found
task126,outputs\current_6352_53_stack\overrides\task126.onnx,outputs\candidates\current_6352_53_zero_add_removed\task126_ZeroAddRemoved.onnx,293,293,0,2121,2121,0,0,0,no zero-add patterns found
task127,outputs\current_6352_53_stack\overrides\task127.onnx,outputs\candidates\current_6352_53_zero_add_removed\task127_ZeroAddRemoved.onnx,4500,4500,0,3772,3772,0,0,0,no zero-add patterns found
task128,outputs\current_6352_53_stack\overrides\task128.onnx,outputs\candidates\current_6352_53_zero_add_removed\task128_ZeroAddRemoved.onnx,744,744,0,2394,2394,0,0,0,no zero-add patterns found
task129,outputs\current_6352_53_stack\overrides\task129.onnx,outputs\candidates\current_6352_53_zero_add_removed\task129_ZeroAddRemoved.onnx,150,150,0,606,606,0,0,0,no zero-add patterns found
task130,outputs\current_6352_53_stack\overrides\task130.onnx,outputs\candidates\current_6352_53_zero_add_removed\task130_ZeroAddRemoved.onnx,216,216,0,581,581,0,0,0,no zero-add patterns found
task131,outputs\current_6352_53_stack\overrides\task131.onnx,outputs\candidates\current_6352_53_zero_add_removed\task131_ZeroAddRemoved.onnx,3135,3135,0,7860,7860,0,0,0,no zero-add patterns found
task132,outputs\current_6352_53_stack\overrides\task132.onnx,outputs\candidates\current_6352_53_zero_add_removed\task132_ZeroAddRemoved.onnx,366,366,0,2585,2585,0,0,0,no zero-add patterns found
task133,outputs\current_6352_53_stack\overrides\task133.onnx,outputs\candidates\current_6352_53_zero_add_removed\task133_ZeroAddRemoved.onnx,641,641,0,24395,24395,0,0,0,no zero-add patterns found
task134,outputs\current_6352_53_stack\overrides\task134.onnx,outputs\candidates\current_6352_53_zero_add_removed\task134_ZeroAddRemoved.onnx,486,486,0,4599,4599,0,0,0,no zero-add patterns found
task135,outputs\current_6352_53_stack\overrides\task135.onnx,outputs\candidates\current_6352_53_zero_add_removed\task135_ZeroAddRemoved.onnx,0,0,0,251,251,0,0,0,no zero-add patterns found
task136,outputs\current_6352_53_stack\overrides\task136.onnx,outputs\candidates\current_6352_53_zero_add_removed\task136_ZeroAddRemoved.onnx,576,576,0,2827,2827,0,0,0,no zero-add patterns found
task137,outputs\current_6352_53_stack\overrides\task137.onnx,outputs\candidates\current_6352_53_zero_add_removed\task137_ZeroAddRemoved.onnx,2008,2008,0,2684,2684,0,0,0,no zero-add patterns found
task138,outputs\current_6352_53_stack\overrides\task138.onnx,outputs\candidates\current_6352_53_zero_add_removed\task138_ZeroAddRemoved.onnx,449,449,0,5476,5476,0,0,0,no zero-add patterns found
task139,outputs\current_6352_53_stack\overrides\task139.onnx,outputs\candidates\current_6352_53_zero_add_removed\task139_ZeroAddRemoved.onnx,988,988,0,3865,3865,0,0,0,no zero-add patterns found
task140,outputs\current_6352_53_stack\overrides\task140.onnx,outputs\candidates\current_6352_53_zero_add_removed\task140_ZeroAddRemoved.onnx,72,72,0,394,394,0,0,0,no zero-add patterns found
