task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task121,outputs\onnx\task121.onnx,outputs\candidates\deduplicated_all\task121_DeduplicateInitializers.onnx,366,366,0,3339,3339,0,17,17,0,0
task122,outputs\onnx\task122.onnx,outputs\candidates\deduplicated_all\task122_DeduplicateInitializers.onnx,12550,12550,0,10236,10236,0,2,2,0,0
task123,outputs\onnx\task123.onnx,outputs\candidates\deduplicated_all\task123_DeduplicateInitializers.onnx,8497,8497,0,8997,8997,0,13,13,0,0
task124,outputs\onnx\task124.onnx,outputs\candidates\deduplicated_all\task124_DeduplicateInitializers.onnx,3113,3113,0,4339,4339,0,16,16,0,0
task125,outputs\onnx\task125.onnx,outputs\candidates\deduplicated_all\task125_DeduplicateInitializers.onnx,644,644,0,3032,3032,0,10,10,0,0
task126,outputs\onnx\task126.onnx,outputs\candidates\deduplicated_all\task126_DeduplicateInitializers.onnx,347,347,0,2765,2765,0,11,11,0,0
task127,outputs\onnx\task127.onnx,outputs\candidates\deduplicated_all\task127_DeduplicateInitializers.onnx,4500,4500,0,3772,3772,0,1,1,0,0
task128,outputs\onnx\task128.onnx,outputs\candidates\deduplicated_all\task128_DeduplicateInitializers.onnx,906,906,0,3365,3365,0,13,13,0,0
task129,outputs\onnx\task129.onnx,outputs\candidates\deduplicated_all\task129_DeduplicateInitializers.onnx,258,258,0,1196,1196,0,10,10,0,0
task130,outputs\onnx\task130.onnx,outputs\candidates\deduplicated_all\task130_DeduplicateInitializers.onnx,608,608,0,1293,1293,0,5,5,0,0
task131,outputs\onnx\task131.onnx,outputs\candidates\deduplicated_all\task131_DeduplicateInitializers.onnx,4943,4943,0,12030,12030,0,17,17,0,0
task132,outputs\onnx\task132.onnx,outputs\candidates\deduplicated_all\task132_DeduplicateInitializers.onnx,436,436,0,3762,3762,0,16,16,0,0
task133,outputs\onnx\task133.onnx,outputs\candidates\deduplicated_all\task133_DeduplicateInitializers.onnx,1406822,1406822,0,783434,783434,0,167,167,0,0
task134,outputs\onnx\task134.onnx,outputs\candidates\deduplicated_all\task134_DeduplicateInitializers.onnx,600,600,0,7220,7220,0,25,25,0,0
