task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task101,outputs\reference_6275_flat\task101.onnx,outputs\candidates\ref6275_deduplicated\task101_DeduplicateInitializers.onnx,594,594,0,19538,19538,0,27,27,0,0
task102,outputs\reference_6275_flat\task102.onnx,outputs\candidates\ref6275_deduplicated\task102_DeduplicateInitializers.onnx,1809,1809,0,6482,6482,0,25,25,0,0
task103,outputs\reference_6275_flat\task103.onnx,outputs\candidates\ref6275_deduplicated\task103_DeduplicateInitializers.onnx,180,180,0,979,979,0,9,9,0,0
task104,outputs\reference_6275_flat\task104.onnx,outputs\candidates\ref6275_deduplicated\task104_DeduplicateInitializers.onnx,3066,3066,0,3505,3505,0,16,16,0,0
task105,outputs\reference_6275_flat\task105.onnx,outputs\candidates\ref6275_deduplicated\task105_DeduplicateInitializers.onnx,606,606,0,8053,8053,0,18,18,0,0
task106,outputs\reference_6275_flat\task106.onnx,outputs\candidates\ref6275_deduplicated\task106_DeduplicateInitializers.onnx,746,746,0,2939,2939,0,16,16,0,0
task107,outputs\reference_6275_flat\task107.onnx,outputs\candidates\ref6275_deduplicated\task107_DeduplicateInitializers.onnx,42039,42039,0,31191,31191,0,30,30,0,0
task108,outputs\reference_6275_flat\task108.onnx,outputs\candidates\ref6275_deduplicated\task108_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task109,outputs\reference_6275_flat\task109.onnx,outputs\candidates\ref6275_deduplicated\task109_DeduplicateInitializers.onnx,2280,2280,0,5257,5257,0,14,14,0,0
task110,outputs\reference_6275_flat\task110.onnx,outputs\candidates\ref6275_deduplicated\task110_DeduplicateInitializers.onnx,2945,2945,0,20525,20525,0,52,52,0,0
task111,outputs\reference_6275_flat\task111.onnx,outputs\candidates\ref6275_deduplicated\task111_DeduplicateInitializers.onnx,225,225,0,1499,1499,0,8,8,0,0
task112,outputs\reference_6275_flat\task112.onnx,outputs\candidates\ref6275_deduplicated\task112_DeduplicateInitializers.onnx,564,564,0,3987,3987,0,18,18,0,0
task113,outputs\reference_6275_flat\task113.onnx,outputs\candidates\ref6275_deduplicated\task113_DeduplicateInitializers.onnx,270,270,0,499,499,0,1,1,0,0
task114,outputs\reference_6275_flat\task114.onnx,outputs\candidates\ref6275_deduplicated\task114_DeduplicateInitializers.onnx,924,924,0,4671,4671,0,20,20,0,0
task115,outputs\reference_6275_flat\task115.onnx,outputs\candidates\ref6275_deduplicated\task115_DeduplicateInitializers.onnx,423,423,0,3952,3952,0,20,20,0,0
task116,outputs\reference_6275_flat\task116.onnx,outputs\candidates\ref6275_deduplicated\task116_DeduplicateInitializers.onnx,270,270,0,479,479,0,1,1,0,0
task117,outputs\reference_6275_flat\task117.onnx,outputs\candidates\ref6275_deduplicated\task117_DeduplicateInitializers.onnx,1187,1187,0,7592,7592,0,39,39,0,0
task118,outputs\reference_6275_flat\task118.onnx,outputs\candidates\ref6275_deduplicated\task118_DeduplicateInitializers.onnx,522,522,0,4432,4432,0,13,13,0,0
task119,outputs\reference_6275_flat\task119.onnx,outputs\candidates\ref6275_deduplicated\task119_DeduplicateInitializers.onnx,612,612,0,13672,13672,0,22,22,0,0
task120,outputs\reference_6275_flat\task120.onnx,outputs\candidates\ref6275_deduplicated\task120_DeduplicateInitializers.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task121,outputs\reference_6275_flat\task121.onnx,outputs\candidates\ref6275_deduplicated\task121_DeduplicateInitializers.onnx,366,366,0,3339,3339,0,17,17,0,0
task122,outputs\reference_6275_flat\task122.onnx,outputs\candidates\ref6275_deduplicated\task122_DeduplicateInitializers.onnx,12550,12550,0,10236,10236,0,2,2,0,0
task123,outputs\reference_6275_flat\task123.onnx,outputs\candidates\ref6275_deduplicated\task123_DeduplicateInitializers.onnx,8472,8472,0,9379,9379,0,12,12,0,0
task124,outputs\reference_6275_flat\task124.onnx,outputs\candidates\ref6275_deduplicated\task124_DeduplicateInitializers.onnx,3087,3087,0,2840,2840,0,16,16,0,0
task125,outputs\reference_6275_flat\task125.onnx,outputs\candidates\ref6275_deduplicated\task125_DeduplicateInitializers.onnx,639,639,0,3012,3012,0,9,9,0,0
task126,outputs\reference_6275_flat\task126.onnx,outputs\candidates\ref6275_deduplicated\task126_DeduplicateInitializers.onnx,347,347,0,3088,3088,0,11,11,0,0
task127,outputs\reference_6275_flat\task127.onnx,outputs\candidates\ref6275_deduplicated\task127_DeduplicateInitializers.onnx,4500,4500,0,3772,3772,0,1,1,0,0
task128,outputs\reference_6275_flat\task128.onnx,outputs\candidates\ref6275_deduplicated\task128_DeduplicateInitializers.onnx,744,744,0,2394,2394,0,13,13,0,0
task129,outputs\reference_6275_flat\task129.onnx,outputs\candidates\ref6275_deduplicated\task129_DeduplicateInitializers.onnx,255,255,0,785,785,0,6,6,0,0
task130,outputs\reference_6275_flat\task130.onnx,outputs\candidates\ref6275_deduplicated\task130_DeduplicateInitializers.onnx,358,358,0,1164,1164,0,4,4,0,0
task131,outputs\reference_6275_flat\task131.onnx,outputs\candidates\ref6275_deduplicated\task131_DeduplicateInitializers.onnx,3135,3135,0,7860,7860,0,17,17,0,0
task132,outputs\reference_6275_flat\task132.onnx,outputs\candidates\ref6275_deduplicated\task132_DeduplicateInitializers.onnx,366,366,0,2585,2585,0,16,16,0,0
task133,outputs\reference_6275_flat\task133.onnx,outputs\candidates\ref6275_deduplicated\task133_DeduplicateInitializers.onnx,1869,1869,0,14130,14130,0,54,54,0,0
task134,outputs\reference_6275_flat\task134.onnx,outputs\candidates\ref6275_deduplicated\task134_DeduplicateInitializers.onnx,486,486,0,4599,4599,0,26,26,0,0
task135,outputs\reference_6275_flat\task135.onnx,outputs\candidates\ref6275_deduplicated\task135_DeduplicateInitializers.onnx,0,0,0,251,251,0,0,0,0,0
