task_id,selected_by,replacement_model_path,candidate_zip_path,upload_submission_path,archive_estimated_cost,current_estimated_cost,cost_delta_archive_minus_current,base_entry_size_bytes,replacement_file_size_bytes,base_sha256,replacement_sha256,candidate_valid,failure_reason
task338,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task338.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task338_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task338_ZeroInitializerCompression\submission.zip,,,,8884,5422,c4e2d784490156e8a4ba7ee3f80c9706021d7bca46e83c27c2aaab16a43710e1,9bc23889771282c8871b1d36d98c8571e2817c2bc327dc06e306987c4e055341,True,
task345,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task345.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task345_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task345_ZeroInitializerCompression\submission.zip,,,,10079,8414,c33a5f6e78916a4a95040832dd427c7877e2b85de975738a8cdcb55dea726ae7,de95e489dc54a92e02f854841e19f8b458748030945e4bd492d08a8b12722dad,True,
task348,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task348.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task348_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task348_ZeroInitializerCompression\submission.zip,,,,1950,1983,2352e5feb515f6c83125588b2fb6aedd2528a35bc1c57495f797cae172581d45,4e4e44c8ebc3dfa42605f19b6378cbba6a1648f985608c0d19c3ccfa1350604e,True,
task349,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task349.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task349_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task349_ZeroInitializerCompression\submission.zip,,,,8427,7662,4cc05dc16b10f98c4006406f425e58851f7bafbe44dd60fe5d2893808cd95077,05d1d3344163ce57f8ded51d8a7c5512bb1a9cfa1ba479a1a1b0bc55a9870e1b,True,
task353,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task353.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task353_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task353_ZeroInitializerCompression\submission.zip,,,,3244,3207,1639de1c1d4d3ee61a8454a02d3b5af4d359f13f2fb1c963687d4cd76b280a8b,eab37717d9d7106d60fea5e3b5edb7f280841a6b5311579c0c692e09c7882177,True,
task354,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task354.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task354_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task354_ZeroInitializerCompression\submission.zip,,,,2710,2751,72097d91360fee677a7cedfcb6a9f81d203f7ed48b510491a32767048d687447,922058e370d05e64df804bfaaf443ec5d381ea32e5b36da81657562697e0ce16,True,
task356,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task356.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task356_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task356_ZeroInitializerCompression\submission.zip,,,,2324,2357,ddccb479313074b253968d42dbddb3ebe3f44ea46ee8b5fd255d31defc4d66bb,50723438ef15d8855d7b15c1940c29ca4b72bc947a156af948671e6a70e50f97,True,
task364,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task364.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task364_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task364_ZeroInitializerCompression\submission.zip,,,,10636,8698,19c76d070f8150bce68cfff6c1d1904fad351bb30d17d6e0b6a21d04072d261b,b67e08968de660b21d3be42bfcb2135f2669884a22ec01fad1a263a44a6ca8ef,True,
task369,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task369.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task369_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task369_ZeroInitializerCompression\submission.zip,,,,3315,3250,1cfe982df2ace7597db45b5bfba380a13e8855ae31179524b685c7a161b2f22f,7ada3df2a4293aacf251760c9ac6ace9c423341f9c1f52030fbfd081844ca85c,True,
task371,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task371.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task371_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task371_ZeroInitializerCompression\submission.zip,,,,3031,2393,ac746c0f7985def55f31802cab65bd5cdd75ce9961ea75cb9e2e4cca9b37041e,06aafeeb0f8bed455d113ecfdf024b2a5fb17d2671928f60f124c6ffc76b3506,True,
task381,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task381.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task381_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task381_ZeroInitializerCompression\submission.zip,,,,2035,2056,ebf1e59013474b1e1ee3486919874587e800e3df415c612b856b0e8861dbca9a,ced5964496720a39a9d09b110819347dacc7516e63c1a629dd523f062e771947,True,
task392,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task392.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task392_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task392_ZeroInitializerCompression\submission.zip,,,,9738,6683,a1b6f293dd9143a38e3214f644aef3e1f1792e03f13d48612156a4e4f8274c9c,7720bf28af36cea81596484539ed381b7a7d9da9920024685a2563069e4c68de,True,
