task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task114,outputs\current_6349_78_stack\overrides\task114.onnx,outputs\candidates\dedup_6349_78\task114_DeduplicateInitializers.onnx,924,924,0,4671,4671,0,20,20,0,0
task115,outputs\current_6349_78_stack\overrides\task115.onnx,outputs\candidates\dedup_6349_78\task115_DeduplicateInitializers.onnx,423,423,0,3952,3952,0,20,20,0,0
task116,outputs\current_6349_78_stack\overrides\task116.onnx,outputs\candidates\dedup_6349_78\task116_DeduplicateInitializers.onnx,270,270,0,479,479,0,1,1,0,0
task117,outputs\current_6349_78_stack\overrides\task117.onnx,outputs\candidates\dedup_6349_78\task117_DeduplicateInitializers.onnx,1147,1147,0,7552,7552,0,39,39,0,0
task118,outputs\current_6349_78_stack\overrides\task118.onnx,outputs\candidates\dedup_6349_78\task118_DeduplicateInitializers.onnx,444,444,0,4327,4327,0,11,11,0,0
task119,outputs\current_6349_78_stack\overrides\task119.onnx,outputs\candidates\dedup_6349_78\task119_DeduplicateInitializers.onnx,612,612,0,12826,12826,0,22,22,0,0
task120,outputs\current_6349_78_stack\overrides\task120.onnx,outputs\candidates\dedup_6349_78\task120_DeduplicateInitializers.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task121,outputs\current_6349_78_stack\overrides\task121.onnx,outputs\candidates\dedup_6349_78\task121_DeduplicateInitializers.onnx,366,366,0,3339,3339,0,17,17,0,0
task122,outputs\current_6349_78_stack\overrides\task122.onnx,outputs\candidates\dedup_6349_78\task122_DeduplicateInitializers.onnx,12550,12550,0,10236,10236,0,2,2,0,0
task123,outputs\current_6349_78_stack\overrides\task123.onnx,outputs\candidates\dedup_6349_78\task123_DeduplicateInitializers.onnx,8472,8472,0,9379,9379,0,12,12,0,0
task124,outputs\current_6349_78_stack\overrides\task124.onnx,outputs\candidates\dedup_6349_78\task124_DeduplicateInitializers.onnx,1763,1763,0,3839,3839,0,16,16,0,0
task125,outputs\current_6349_78_stack\overrides\task125.onnx,outputs\candidates\dedup_6349_78\task125_DeduplicateInitializers.onnx,639,639,0,3012,3012,0,9,9,0,0
task126,outputs\current_6349_78_stack\overrides\task126.onnx,outputs\candidates\dedup_6349_78\task126_DeduplicateInitializers.onnx,293,293,0,2121,2121,0,11,11,0,0
task127,outputs\current_6349_78_stack\overrides\task127.onnx,outputs\candidates\dedup_6349_78\task127_DeduplicateInitializers.onnx,4500,4500,0,3772,3772,0,1,1,0,0
task128,outputs\current_6349_78_stack\overrides\task128.onnx,outputs\candidates\dedup_6349_78\task128_DeduplicateInitializers.onnx,744,744,0,2394,2394,0,13,13,0,0
task129,outputs\current_6349_78_stack\overrides\task129.onnx,outputs\candidates\dedup_6349_78\task129_DeduplicateInitializers.onnx,150,150,0,606,606,0,6,6,0,0
task130,outputs\current_6349_78_stack\overrides\task130.onnx,outputs\candidates\dedup_6349_78\task130_DeduplicateInitializers.onnx,216,216,0,581,581,0,5,5,0,0
task131,outputs\current_6349_78_stack\overrides\task131.onnx,outputs\candidates\dedup_6349_78\task131_DeduplicateInitializers.onnx,3135,3135,0,7860,7860,0,17,17,0,0
