task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task242,True,outputs\hybrid_6275_current_min_cost_onnx\task242.onnx,324,2031,,True
task243,True,outputs\hybrid_6275_current_min_cost_onnx\task243.onnx,154,23390,,True
task244,True,outputs\hybrid_6275_current_min_cost_onnx\task244.onnx,761,6538,,True
task245,True,outputs\hybrid_6275_current_min_cost_onnx\task245.onnx,342,2751,,True
task246,True,outputs\hybrid_6275_current_min_cost_onnx\task246.onnx,1079,3824,,True
task247,True,outputs\hybrid_6275_current_min_cost_onnx\task247.onnx,178,2060,,True
task248,True,outputs\hybrid_6275_current_min_cost_onnx\task248.onnx,270,2328,,True
task249,True,outputs\hybrid_6275_current_min_cost_onnx\task249.onnx,1092,2482,,True
task250,True,outputs\hybrid_6275_current_min_cost_onnx\task250.onnx,371,12918,,True
task251,True,outputs\hybrid_6275_current_min_cost_onnx\task251.onnx,174,5106,,True
task252,True,outputs\hybrid_6275_current_min_cost_onnx\task252.onnx,996,3201,,True
task253,True,outputs\hybrid_6275_current_min_cost_onnx\task253.onnx,2407,3510,,True
task254,True,outputs\hybrid_6275_current_min_cost_onnx\task254.onnx,918,4960,,True
task255,True,outputs\hybrid_6275_current_min_cost_onnx\task255.onnx,58680,106804,,True
task256,True,outputs\hybrid_6275_current_min_cost_onnx\task256.onnx,339,4194,,True
task257,True,outputs\hybrid_6275_current_min_cost_onnx\task257.onnx,375,1369,,True
task258,False,outputs\hybrid_6275_current_min_cost_onnx\task258.onnx,800,880,nonzero_padding_cells: case=0,False
task259,True,outputs\hybrid_6275_current_min_cost_onnx\task259.onnx,382,3882,,True
task260,True,outputs\hybrid_6275_current_min_cost_onnx\task260.onnx,525,3230,,True
task261,True,outputs\hybrid_6275_current_min_cost_onnx\task261.onnx,1000,995,,True
task262,True,outputs\hybrid_6275_current_min_cost_onnx\task262.onnx,206,903,,True
task263,True,outputs\hybrid_6275_current_min_cost_onnx\task263.onnx,450,7373,,True
task264,True,outputs\hybrid_6275_current_min_cost_onnx\task264.onnx,3234,10074,,True
task265,True,outputs\hybrid_6275_current_min_cost_onnx\task265.onnx,507,2076,,True
task266,False,outputs\hybrid_6275_current_min_cost_onnx\task266.onnx,4550,3825,nonzero_padding_cells: case=0,False
task267,True,outputs\hybrid_6275_current_min_cost_onnx\task267.onnx,315,1202,,True
task268,True,outputs\hybrid_6275_current_min_cost_onnx\task268.onnx,738,20817,,True
task269,True,outputs\hybrid_6275_current_min_cost_onnx\task269.onnx,420,2336,,True
task270,True,outputs\hybrid_6275_current_min_cost_onnx\task270.onnx,2660,10862,,True
task271,True,outputs\hybrid_6275_current_min_cost_onnx\task271.onnx,439,1993,,True
task272,False,outputs\hybrid_6275_current_min_cost_onnx\task272.onnx,2300,2039,nonzero_padding_cells: case=0,False
task273,True,outputs\hybrid_6275_current_min_cost_onnx\task273.onnx,270,1670,,True
task274,True,outputs\hybrid_6275_current_min_cost_onnx\task274.onnx,2057,3619,,True
task275,True,outputs\hybrid_6275_current_min_cost_onnx\task275.onnx,8733,16304,,True
task276,True,outputs\hybrid_6275_current_min_cost_onnx\task276.onnx,90,217,,True
task277,True,outputs\hybrid_6275_current_min_cost_onnx\task277.onnx,913,6687,,True
task278,True,outputs\hybrid_6275_current_min_cost_onnx\task278.onnx,1248,2799,,True
task279,True,outputs\hybrid_6275_current_min_cost_onnx\task279.onnx,1510,4658,,True
task280,True,outputs\hybrid_6275_current_min_cost_onnx\task280.onnx,396,16655,,True
task281,True,outputs\hybrid_6275_current_min_cost_onnx\task281.onnx,2499,5479,,True
task282,True,outputs\hybrid_6275_current_min_cost_onnx\task282.onnx,4500,3798,,True
task283,False,outputs\hybrid_6275_current_min_cost_onnx\task283.onnx,4550,3825,nonzero_padding_cells: case=0,False
task284,True,outputs\hybrid_6275_current_min_cost_onnx\task284.onnx,1559,9092,,True
task285,True,outputs\hybrid_6275_current_min_cost_onnx\task285.onnx,5662,21633,,True
task286,True,outputs\hybrid_6275_current_min_cost_onnx\task286.onnx,4145,13714,,True
task287,True,outputs\hybrid_6275_current_min_cost_onnx\task287.onnx,247,1686,,True
task288,True,outputs\hybrid_6275_current_min_cost_onnx\task288.onnx,345,5948,,True
task289,True,outputs\hybrid_6275_current_min_cost_onnx\task289.onnx,420,2021,,True
task290,True,outputs\hybrid_6275_current_min_cost_onnx\task290.onnx,391,3323,,True
task291,True,outputs\hybrid_6275_current_min_cost_onnx\task291.onnx,4731,6009,,True
task292,True,outputs\hybrid_6275_current_min_cost_onnx\task292.onnx,339,1065,,True
task293,True,outputs\hybrid_6275_current_min_cost_onnx\task293.onnx,597,4426,,True
task294,False,outputs\hybrid_6275_current_min_cost_onnx\task294.onnx,4550,3825,nonzero_padding_cells: case=0,False
task295,True,outputs\hybrid_6275_current_min_cost_onnx\task295.onnx,291,1889,,True
task296,True,outputs\hybrid_6275_current_min_cost_onnx\task296.onnx,1837,2803,,True
task297,True,outputs\hybrid_6275_current_min_cost_onnx\task297.onnx,364,2651,,True
task298,True,outputs\hybrid_6275_current_min_cost_onnx\task298.onnx,1776,3322,,True
task299,True,outputs\hybrid_6275_current_min_cost_onnx\task299.onnx,342,2080,,True
task300,True,outputs\hybrid_6275_current_min_cost_onnx\task300.onnx,852,4454,,True
task301,True,outputs\hybrid_6275_current_min_cost_onnx\task301.onnx,906,3697,,True
task302,True,outputs\hybrid_6275_current_min_cost_onnx\task302.onnx,180,4372,,True
task303,True,outputs\hybrid_6275_current_min_cost_onnx\task303.onnx,1550,2084,,True
task304,True,outputs\hybrid_6275_current_min_cost_onnx\task304.onnx,271,1879,,True
task305,True,outputs\hybrid_6275_current_min_cost_onnx\task305.onnx,1452,1865,,True
task306,True,outputs\hybrid_6275_current_min_cost_onnx\task306.onnx,605,4101,,True
task307,True,outputs\hybrid_6275_current_min_cost_onnx\task307.onnx,9000,7454,,True
task308,True,outputs\hybrid_6275_current_min_cost_onnx\task308.onnx,593,3875,,True
task309,True,outputs\hybrid_6275_current_min_cost_onnx\task309.onnx,90,217,,True
task310,True,outputs\hybrid_6275_current_min_cost_onnx\task310.onnx,955,3379,,True
task311,True,outputs\hybrid_6275_current_min_cost_onnx\task311.onnx,270,479,,True
task312,True,outputs\hybrid_6275_current_min_cost_onnx\task312.onnx,171,1202,,True
task313,True,outputs\hybrid_6275_current_min_cost_onnx\task313.onnx,1437,3668,,True
