task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,ref6275_valid,ref6275_estimated_cost,ref6275_file_size_bytes,ref6275_failure_reason,ref6348_base_valid,ref6348_base_estimated_cost,ref6348_base_file_size_bytes,ref6348_base_failure_reason,ref6348_overrides_valid,ref6348_overrides_estimated_cost,ref6348_overrides_file_size_bytes,ref6348_overrides_failure_reason,best_6348_source,best_6348_estimated_cost,cost_delta_6275_minus_best_6348
task123,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task123.onnx,8472,9379,True,8472,9379,,True,8497,8997,,True,8472,9379,,ref6348_overrides,8472,0
task124,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task124.onnx,1763,3839,True,3087,2840,,True,3113,4339,,True,1763,3839,,ref6348_overrides,1763,1324
task125,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task125.onnx,639,3012,True,639,3012,,True,644,3032,,True,639,3012,,ref6348_overrides,639,0
task126,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task126.onnx,293,2121,True,347,3088,,True,347,2765,,True,293,2121,,ref6348_overrides,293,54
task127,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task127.onnx,4500,3772,True,4500,3772,,True,4500,3772,,True,4500,3772,,ref6348_overrides,4500,0
task128,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task128.onnx,744,2394,True,744,2394,,True,906,3365,,True,744,2394,,ref6348_overrides,744,0
task129,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task129.onnx,150,606,True,255,785,,True,258,1196,,True,150,606,,ref6348_overrides,150,105
task130,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task130.onnx,216,581,True,358,1164,,True,608,1293,,True,216,581,,ref6348_overrides,216,142
task131,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task131.onnx,3135,7860,True,3135,7860,,True,4943,12030,,True,3135,7860,,ref6348_overrides,3135,0
task132,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task132.onnx,366,2585,True,366,2585,,True,436,3762,,True,366,2585,,ref6348_overrides,366,0
task133,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task133.onnx,641,24395,True,1869,14130,,True,1406822,783434,,True,641,24395,,ref6348_overrides,641,1228
task134,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task134.onnx,486,4599,True,486,4599,,True,600,7220,,True,486,4599,,ref6348_overrides,486,0
task135,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task135.onnx,0,251,True,0,251,,True,54,381,,True,0,251,,ref6348_overrides,0,0
task136,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task136.onnx,576,2827,True,576,2827,,True,2229,4980,,True,576,2827,,ref6348_overrides,576,0
task137,ref6275,outputs\reference_6275_flat\task137.onnx,248,2835,True,248,2835,,True,2028,3864,,True,2008,2684,,ref6348_overrides,2008,-1760
task138,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task138.onnx,449,5523,True,461,8806,,True,789,11562,,True,449,5523,,ref6348_overrides,449,12
task139,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task139.onnx,988,3865,True,988,3865,,True,988,3865,,True,988,3865,,ref6348_overrides,988,0
task140,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task140.onnx,72,394,True,72,394,,True,144,474,,True,72,394,,ref6348_overrides,72,0
