task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task209,archive,outputs\hybrid_6275_current_safe_onnx\task209.onnx,875,12354,True,875,12354,,True,116524,327966,
task210,current,outputs\hybrid_6275_current_safe_onnx\task210.onnx,270,479,True,270,479,,True,270,479,
task211,current,outputs\hybrid_6275_current_safe_onnx\task211.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task212,archive,outputs\hybrid_6275_current_safe_onnx\task212.onnx,618,5951,True,618,5951,,True,1321,6853,
task213,current,outputs\hybrid_6275_current_safe_onnx\task213.onnx,660,25091,True,960,26793,,True,660,25091,
task214,current,outputs\hybrid_6275_current_safe_onnx\task214.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task215,archive,outputs\hybrid_6275_current_safe_onnx\task215.onnx,356,1729,True,356,1729,,True,559,4015,
task216,archive,outputs\hybrid_6275_current_safe_onnx\task216.onnx,888,11027,True,888,11027,,True,888,20396,
task217,archive,outputs\hybrid_6275_current_safe_onnx\task217.onnx,203,1350,True,203,1350,,True,5649,7268,
task218,current,outputs\hybrid_6275_current_safe_onnx\task218.onnx,328,9594,True,328,9594,,True,328,9594,
task219,archive,outputs\hybrid_6275_current_safe_onnx\task219.onnx,745,28326,True,745,28326,,True,16894,87016,
task220,current,outputs\hybrid_6275_current_safe_onnx\task220.onnx,4500,3798,True,4500,3798,,True,4500,3798,
task221,current,outputs\hybrid_6275_current_safe_onnx\task221.onnx,15246,13333,True,15246,13333,,True,15246,13333,
task222,current,outputs\hybrid_6275_current_safe_onnx\task222.onnx,405,2578,True,405,2578,,True,405,2578,
task223,current,outputs\hybrid_6275_current_safe_onnx\task223.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task224,archive,outputs\hybrid_6275_current_safe_onnx\task224.onnx,690,4703,True,690,4703,,True,1006,6314,
task225,archive,outputs\hybrid_6275_current_safe_onnx\task225.onnx,2387,5688,True,2387,5688,,True,3168,5386,
task226,archive,outputs\hybrid_6275_current_safe_onnx\task226.onnx,621,4625,True,621,4625,,True,867,4694,
task227,archive,outputs\hybrid_6275_current_safe_onnx\task227.onnx,297,1135,True,297,1135,,True,339,1435,
task228,archive,outputs\hybrid_6275_current_safe_onnx\task228.onnx,492,2649,True,492,2649,,True,562,4406,
task229,archive,outputs\hybrid_6275_current_safe_onnx\task229.onnx,333,1379,True,333,1379,,True,357,1735,
task230,current,outputs\hybrid_6275_current_safe_onnx\task230.onnx,4500,3798,True,4500,3798,,True,4500,3798,
task231,archive,outputs\hybrid_6275_current_safe_onnx\task231.onnx,837,2684,True,837,2684,,True,866,3468,
task232,archive,outputs\hybrid_6275_current_safe_onnx\task232.onnx,273,1616,True,273,1616,,True,389,2435,
task233,archive,outputs\hybrid_6275_current_safe_onnx\task233.onnx,6131,193251,True,6131,193251,,True,661410,924434,
task234,archive,outputs\hybrid_6275_current_safe_onnx\task234.onnx,348,4106,True,348,4106,,True,4347,8285,
task235,archive,outputs\hybrid_6275_current_safe_onnx\task235.onnx,612,3090,True,612,3090,,True,750,3931,
task236,archive,outputs\hybrid_6275_current_safe_onnx\task236.onnx,0,643,True,0,643,,True,322,1511,
task237,archive,outputs\hybrid_6275_current_safe_onnx\task237.onnx,291,1637,True,291,1637,,True,317,2237,
task238,archive,outputs\hybrid_6275_current_safe_onnx\task238.onnx,4467,12003,True,4467,12003,,True,4527,11927,
task239,archive,outputs\hybrid_6275_current_safe_onnx\task239.onnx,1284,3146,True,1284,3146,,True,1284,4143,
task240,current,outputs\hybrid_6275_current_safe_onnx\task240.onnx,582,3953,True,78767,66169,,True,582,3953,
task241,current,outputs\hybrid_6275_current_safe_onnx\task241.onnx,0,170,True,0,170,,True,0,170,
task242,current,outputs\hybrid_6275_current_safe_onnx\task242.onnx,324,2031,True,398,1736,,True,324,2031,
