task_id,ref6275_valid_structural,ref6275_params,ref6275_memory_bytes,ref6275_estimated_cost,ref6275_estimated_score,ref6275_file_size_bytes,ref6275_file_size_ok,ref6275_node_count,ref6275_initializer_count,ref6275_forbidden_ops,ref6275_unused_initializer_count,ref6275_unused_initializer_params,ref6275_duplicate_group_count,ref6275_duplicate_saved_params,ref6275_sha256,current_valid_structural,current_params,current_memory_bytes,current_estimated_cost,current_estimated_score,current_file_size_bytes,current_file_size_ok,current_node_count,current_initializer_count,current_forbidden_ops,current_unused_initializer_count,current_unused_initializer_params,current_duplicate_group_count,current_duplicate_saved_params,current_sha256,same_sha256,cost_delta_ref_minus_current,score_delta_ref_minus_current,file_delta_ref_minus_current,cheaper_source_by_cost
task011,True,2331,4734,7065,16.13709170488137,10170,True,52,22,,0,0,0,0,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,True,2331,4734,7065,16.13709170488137,10170,True,52,22,,0,0,0,0,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,True,0,0.0,0,tie
task012,True,103,493,596,18.60975933293465,1906,True,14,14,,0,0,0,0,df320d75ab6b4ecabfe62ab2fba6c963a9060bd9c5703fcede7dc2ff460629bc,True,102,485,587,18.6249751801719,1948,True,15,13,,0,0,0,0,35326b3a2dcb8e024ed7dbf141f6b861694663c1339546fd0adb3ad8e2ff5e77,False,9,-0.015215847237250557,-42,current
task013,True,2257,4538,6795,16.176057673414753,18384,True,91,16,,0,0,0,0,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,True,2257,4538,6795,16.176057673414753,18384,True,91,16,,0,0,0,0,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,True,0,0.0,0,tie
task014,True,650,2725,3375,16.87584939669337,5317,True,42,17,,0,0,0,0,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,True,0,0,0,25.0,14357,True,166,0,,0,0,0,0,d81dcec7f3d336ac99f0d2ab79de21ef8ec5cac2d6d4e1d007e4a3621d5601f1,False,3375,-8.124150603306632,-9040,current
task015,True,900,3600,4500,16.58816732424159,3774,True,1,1,,0,0,0,0,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,True,900,3600,4500,16.58816732424159,3798,True,1,1,,0,0,0,0,1bdf0a59883c98795d2d54262adc099a55470837e426c2ad60d49f27b069db45,False,0,0.0,-24,tie
task016,True,10,80,90,20.500190329669735,158,True,1,1,,0,0,0,0,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,True,10,80,90,20.500190329669735,158,True,1,1,,0,0,0,0,fb83a8e988f586009bf17279b7aedb194e3492a8e6f357be6d5e9ed903615733,True,0,0.0,0,tie
task017,True,182,1341,1523,17.67156264710484,5585,True,66,27,,0,0,0,0,2a268bfcb73861d099a9ca8009f09ef7dcf98e00d40145ba94162c3b92a93416,True,623,1796,2419,17.208890489389972,8620,True,67,27,,0,0,0,0,4a7ffedcf19a4dc495a515c79b88ca30b9399af74abb9a375da3c3a778336340,False,-896,0.46267215771486647,-3035,ref6275
task018,True,994,2251,3245,16.91512937086181,29350,True,193,32,,0,0,0,0,ec828a39c746dcabfcd5ea69cdd4556348419cbe07fd6a16ec9edff4677bc4bd,True,999,2316,3315,16.893787097380038,32157,True,219,31,,0,0,0,0,c2e8e82b394406b4127ebd3b4e74460e0d34b69c8604a6ff6239f9a1608dd4f6,False,-70,0.0213422734817712,-2807,ref6275
task019,True,70,500,570,18.654363639171404,2566,True,32,13,,0,0,0,0,b9e7bc0ecebe4cce72ea9df2a550b91561dfd30ed40820c398a63d11402f785a,True,1828,14498,16326,15.2994857919887,17887,True,35,12,,0,0,0,0,eecf7625da383cb85e5c0579fb3b8635767d444eff594d0b30dfd79b2d44ffb1,False,-15756,3.3548778471827045,-15321,ref6275
task020,True,90,696,786,18.333043207570793,19672,True,245,25,,0,0,0,0,a84cc462e251b86ba793c289a60372b411667778aaaf99c0db962c656af266e0,True,270,2136,2406,17.214279103465376,31378,True,245,25,,0,0,0,0,4abb72f71f86d299893dcb1ee3be5937bc57ae169a6d1c33af77157df2be6f0d,False,-1620,1.1187641041054164,-11706,ref6275
